date,sentences
2/1/2017,0
2/2/2017,0
2/3/2017,0
2/4/2017,0
2/5/2017,0
2/6/2017,0
2/7/2017,0
2/8/2017,1
2/9/2017,0
2/10/2017,0
2/11/2017,0
2/12/2017,0
2/13/2017,0
2/14/2017,0
2/15/2017,1
2/16/2017,0
2/17/2017,0
2/18/2017,0
2/19/2017,0
2/20/2017,0
2/21/2017,1
2/22/2017,0
2/23/2017,0
2/24/2017,0
2/25/2017,0
2/26/2017,0
2/27/2017,0
2/28/2017,1
3/1/2017,0
3/2/2017,0
3/3/2017,0
3/4/2017,39
3/5/2017,20
3/6/2017,23
3/7/2017,10
3/8/2017,3
3/9/2017,3
3/10/2017,4
3/11/2017,3
3/12/2017,7
3/13/2017,27
3/14/2017,9
3/15/2017,4
3/16/2017,7
3/17/2017,11
3/18/2017,5
3/19/2017,5
3/20/2017,21
3/21/2017,13
3/22/2017,3
3/23/2017,4
3/24/2017,1
3/25/2017,2
3/26/2017,1
3/27/2017,4
3/28/2017,2
3/29/2017,2
3/30/2017,1
3/31/2017,2
4/1/2017,0
4/2/2017,2
4/3/2017,3
4/4/2017,2
